teacher,direction_mode,surface_profile,env,stage,pass,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction,profile_gu,q_ra,q_scratch
champion_then_finish,same_xx,legacy_stress,0,initial,0,0,0,0.0,0.0,0.07858553034555754,0.4288179363942751,0.07309464956019704,0.40001011000087305,0.0,0.02655429867136385,0.3993584576994914,41.73883048239975,0.0,0.0,0.0,52.95959765448595,1.0,0.14681321315421547
champion_then_finish,same_xx,legacy_stress,0,initial,0,0,1,0.0,0.0,0.06104029698089009,0.2860209216525081,0.059544655108115664,0.2904207277865321,0.0,0.0,0.0,42.959526769307814,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,0,2,0.0,0.0,0.44702425599108864,2.107269275207572,0.41163206717011974,2.075095351355829,0.0,0.2338048669680759,1.7909409001307761,43.608342679329866,0.0,0.0,0.0,31.86739381977717,0.02547029112579847,0.085411105305927
champion_then_finish,same_xx,legacy_stress,0,initial,0,0,3,0.0,0.0,0.2657936919540162,1.5202170253667548,0.24445628687666876,1.6150043677393167,0.0,0.11936418144761529,1.6294261493424032,43.48945693646375,0.0,0.0,0.0,40.3160468075478,0.15599412705257285,0.15470494575773075
champion_then_finish,same_xx,legacy_stress,0,initial,0,0,4,0.0,0.0,0.14092401959146922,0.7127795144762292,0.12199688705966566,0.6776275868179873,0.0,0.04638029832410634,0.6087877371348867,43.525089178671735,0.0,0.0,0.0,37.21340778228061,0.5437638661631471,0.022504668458456667
champion_then_finish,same_xx,legacy_stress,0,initial,0,1,0,0.0,0.0,0.047658508588206056,0.269800521800253,0.04451215212579074,0.25881136134362437,0.0,0.0019359912018653252,0.34822743534194506,43.2650303848487,0.0,0.0,0.0,58.656896799289484,1.0,0.25609117009437354
champion_then_finish,same_xx,legacy_stress,0,initial,0,1,1,0.0,0.0,0.19537369633258161,0.9820121641518401,0.18528813696807403,0.9839535982168675,0.0,0.0946396929096619,1.6517306781552126,43.24256657636967,0.0,0.0,0.0,42.68408596486354,0.31545571753243556,0.11775567334465586
champion_then_finish,same_xx,legacy_stress,0,initial,0,1,2,0.0,0.0,0.2876795548640467,1.7055272780334698,0.28059930716570336,1.768032034919493,0.0,0.13885655167548666,1.7910623913231167,43.33684913818699,0.0,0.0,0.0,36.02861300452555,0.12533118709606883,0.07189123273691012
champion_then_finish,same_xx,legacy_stress,0,initial,0,1,3,0.0,0.0,0.06957946019619823,0.39971992789088073,0.06202295584670223,0.21396743306698518,0.0,0.0,0.0,43.405144103978586,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,1,4,0.0,0.0,0.05417936010877215,0.26101742312283405,0.051261118872479104,0.24865538925517375,0.0,0.0,0.0,43.466977509829434,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,2,0,0.0,0.0,0.07431891600626167,0.27717093301775875,0.06273074664094688,0.2578531765351283,0.0,0.0,0.0,42.5520242905412,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,2,1,0.0,0.0,0.07620318179166528,0.3230995769271109,0.07126012257608717,0.29695158484163336,0.0,0.0,0.0,42.86718270621303,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,2,2,0.0,0.0,0.08899802813681741,0.29654219584949437,0.06996636945256587,0.2661921596199849,0.0,0.00014844383686204727,0.0411282329364869,43.33715945649776,0.0,0.0,0.0,25.514339513460097,0.9139492069214653,0.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,2,3,0.0,0.0,0.05908333134597728,0.2640435425652574,0.05565576878058257,0.2488114995158363,0.0,0.0,0.0,43.62749123315599,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,2,4,0.0,0.0,0.07395708002372736,0.30635800759741927,0.06888396506477262,0.29150210947202504,0.0,0.0,0.0,43.89162432896939,0.0,0.0,0.0,78.0,1.0,1.0
champion_then_finish,same_xx,legacy_stress,0,initial,0,3,0,0.0,0.0,0.07979458125456908,0.47071993405488993,0.07507754543860672,0.4374928157925058,0.0,0.0230061754911159,0.4426064990754035,41.20090167349288,0.0,0.0,0.0,36.153898218066416,1.0,0.009320783546253653
champion_then_finish,same_xx,legacy_stress,0,initial,0,3,1,0.0,0.0,0.06115112651160745,0.3060380553967087,0.05846553718306203,0.29731541027319985,0.0,0.0,0.0,42.48627793646986,0.0,0.0,0.0,78.0,1.0,1.0
