env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,parent_force_action,executed_force_action,executed_feed_action,hard_latched_before,hard_latched_after,latch_event,shield_mode,surface_kind,direction_mode,surface_seed_base,surface_profile,profile_seed
0,0,0,0.0,0.0,0.0,0.0,6.644699573516846,0.5138368606567383,0,35.178497314453125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,0,0.0,0.0,0.0,0.0,6.644699573516846,0.5138368606567383,0,35.178497314453125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,0,0.0,0.0,0.0,0.0,6.644699573516846,0.5138369202613831,0,35.17848205566406,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,0,0.0,0.0,0.0,0.0,6.644699573516846,0.5138369202613831,0,35.17848205566406,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,0,1,0.0,0.0,0.23100002110004425,0.0,6.644699573516846,0.49589866399765015,0,37.35371398925781,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,1,0.0,0.0,0.23100002110004425,0.0,6.644699573516846,0.49589866399765015,0,37.35371398925781,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,1,0.0,0.0,0.23100002110004425,0.0,6.644699573516846,0.4958987832069397,0,37.353702545166016,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,1,0.0,0.0,0.23100002110004425,0.0,6.644699573516846,0.4958987832069397,0,37.353702545166016,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,0,2,0.0,0.0,0.3349500298500061,0.0,6.644699573516846,0.47242748737335205,0,39.84434509277344,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,2,0.0,0.0,0.3349500298500061,0.0,6.644699573516846,0.47242748737335205,0,39.84434509277344,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,2,0.0,0.0,0.3349500298500061,0.0,6.644699573516846,0.4724276065826416,0,39.84432601928711,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,2,0.0,0.0,0.3349500298500061,0.0,6.644699573516846,0.4724276065826416,0,39.84432601928711,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,0,3,0.0,0.0,0.38172751665115356,0.0,6.644699573516846,0.4470371603965759,0,42.12431716918945,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,3,0.0,0.0,0.38172751665115356,0.0,6.644699573516846,0.4470371603965759,0,42.12431716918945,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,3,0.0,0.0,0.38172751665115356,0.0,6.644699573516846,0.4470371603965759,0,42.12431716918945,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,3,0.0,0.0,0.38172751665115356,0.0,6.644699573516846,0.4470371603965759,0,42.12431716918945,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,0,4,0.0,0.0,0.40277740359306335,0.0,6.644699573516846,0.42283231019973755,0,43.96142578125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,4,0.0,0.0,0.40277740359306335,0.0,6.644699573516846,0.42283231019973755,0,43.96142578125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,4,0.0,0.0,0.40277740359306335,0.0,6.644699573516846,0.42283231019973755,0,43.96142578125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,4,0.0,0.0,0.40277740359306335,0.0,6.644699573516846,0.42283231019973755,0,43.96142578125,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,0,5,0.0,0.0,0.4122498631477356,0.0,6.644699573516846,0.3993171155452728,0,45.65808868408203,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,0,5,0.0,0.0,0.4122498631477356,0.0,6.644699573516846,0.3993171155452728,0,45.65808868408203,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,0,5,0.0,0.0,0.4122498631477356,0.0,6.644699573516846,0.3993171155452728,0,45.65808868408203,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,0,5,0.0,0.0,0.4122498631477356,0.0,6.644699573516846,0.3993171155452728,0,45.65808868408203,0,0.5196982026100159,0.5,-0.3662063181400299,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,1,0,0.0,0.0,0.41651245951652527,0.0,6.644699573516846,0.3771286606788635,0,47.241455078125,0,1.0,0.5,-0.9068886637687683,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
1,1,0,0.0,0.0,0.41651245951652527,0.0,6.644699573516846,0.3771286606788635,0,47.241455078125,0,1.0,0.5,-0.9068886637687683,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish,40000
2,1,0,0.0,0.0,0.41651245951652527,0.0,6.644699573516846,0.3771287500858307,0,47.24143600463867,0,1.0,0.5,-0.9068886637687683,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_defect,40000
3,1,0,0.0,0.0,0.41651245951652527,0.0,6.644699573516846,0.3771287500858307,0,47.24143600463867,0,1.0,0.5,-0.9068886637687683,0,0,0,static_cap,cylinder,cross_xy,40000,factory_prepolish_deep_stress,40000
0,1,1,0.0,0.0,0.4184306263923645,0.0,6.644699573516846,0.35606271028518677,0,48.727352142333984,0,1.0,0.5,-0.9068886637687683,0,0,0,static_cap,cylinder,cross_xy,40000,legacy_stress,40000
