candidate_id,kind,curvature_radius_m,freeform_seed,direction_mode,step_over_ratio,edge_mode,path_line_count,path_sample_count,path_length_3d_m,surface_height_min_m,surface_height_max_m,surface_height_range_m,surface_tilt_max_deg,path_tilt_mean_deg,path_tilt_max_deg,pad_footprint_normal_change_max_deg,pad_footprint_normal_change_p95_deg,local_tangent_plane_deviation_max_m,local_tangent_plane_deviation_p95_m,vertical_pad_height_deviation_max_m,minimum_quality_map_projected_margin_m,minimum_physical_mesh_projected_margin_m,quality_map_projected_footprint_inside,physical_mesh_projected_footprint_inside,coverage_any_fraction,coverage_effective_fraction,exposure_cv,exposure_min_norm,exposure_p05_norm,exposure_p95_norm,tile_exposure_min_norm,tile_exposure_max_norm,tile_exposure_range_norm,mesh_vertex_count,mesh_triangle_count,mesh_minimum_face_normal_z,all_finite,metric_status,geometry_rank
flat,flat,100000000.0,0,cross_xy,0.4,balanced_extend5,10,530,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001981132075471681,0.021981132075471692,True,True,1.0,1.0,0.14633463191069068,0.4278977031429557,0.6996948593246045,1.135812539724124,0.8315322932181125,1.118984586162762,0.2874522929446496,1681,3200,1.0,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,1
flat,flat,100000000.0,0,same_xx,0.4,balanced_extend5,10,530,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001981132075471681,0.021981132075471692,True,True,1.0,1.0,0.15048134452928,0.42789770314295567,0.691284970907029,1.142949370048846,0.8315322932181124,1.1196672175304891,0.28813492431237675,1681,3200,1.0,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,2
freeform_s1,freeform,0.6,1,same_xx,0.4,balanced_extend5,10,530,2.100110300986149,-0.0013889611625902622,0.0013758471008614031,0.0027648082634516655,1.742092814408121,0.7317151854883148,1.5926024739775233,2.6748146947694322,2.423872080003251,0.0014644552411713758,0.0011956705641031884,0.0013785558102904537,0.0019607876962692006,0.021960787696269204,True,True,1.0,1.0,0.1504263341422716,0.4278685141189043,0.6912842436983381,1.1429266573427015,0.8314626750657763,1.1196790424987422,0.28821636743296586,1681,3200,0.999535612695621,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,3
freeform_s1,freeform,0.6,1,cross_xy,0.4,balanced_extend5,10,530,2.100115140327897,-0.0013889611625902622,0.0013758471008614031,0.0027648082634516655,1.742092814408121,0.7322130388127733,1.716477326779389,2.9384641911647904,2.4077066442781585,0.0015538748878626875,0.0012267322122278322,0.0014322550867933443,0.0019607876962692006,0.021960787696269204,True,True,1.0,1.0,0.1462779203995414,0.43109532572293097,0.6997399795283225,1.1357638851549903,0.8315072649363887,1.118895006854054,0.28738774191766525,1681,3200,0.999535612695621,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,4
cylinder_r1p00,cylinder,1.0,0,cross_xy,0.4,balanced_extend5,10,530,2.1019383197313934,-0.015969512667417418,-2.000002000013268e-06,0.015967512665417405,10.253287082405437,3.018941682144718,5.913037031051908,3.14865765568027,3.14191718324463,0.0015096154326481388,0.001503160566195723,0.007010952617928057,0.0016869338775874487,0.021686933877587466,True,True,1.0,1.0,0.14633221493820273,0.42808657531337,0.6996567322709343,1.1357189120773055,0.8316277044987319,1.119525981940435,0.28789827744170315,1681,3200,0.9844791041257841,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,5
cylinder_r1p00,cylinder,1.0,0,same_xx,0.4,balanced_extend5,10,530,2.103876639462787,-0.015969512667417418,-2.000002000013268e-06,0.015967512665417405,10.253287082405437,3.00972839891397,5.913037031051908,3.14865765568027,3.1452607287248266,0.0015096154326481397,0.0015063607123360786,0.007010952617928057,0.0016869338775874487,0.021686933877587466,True,True,1.0,1.0,0.15021624326782435,0.4282167610929482,0.6919738724268709,1.1424641743289055,0.8320739350172329,1.1192576056526633,0.2871836706354304,1681,3200,0.9844791041257841,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,6
sphere_r1p00,sphere,1.0,0,cross_xy,0.4,balanced_extend5,10,530,2.103891825435384,-0.03220250051986606,-4.000008000049071e-06,0.03219850051186601,14.579909150232039,4.676718558409411,7.786815814356493,3.1527514093688542,3.1526929189853585,0.001513542471707274,0.0015134863274004198,0.009045882103525194,0.0014692595080489368,0.021469259508048948,True,True,1.0,1.0,0.14614168251505316,0.42747482680300575,0.7003371111395875,1.1348729687765564,0.8316738856381388,1.119911712019372,0.2882378263812332,1681,3200,0.9686586107172285,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,7
sphere_r1p00,sphere,1.0,0,same_xx,0.4,balanced_extend5,10,530,2.103891825435384,-0.03220250051986606,-4.000008000049071e-06,0.03219850051186601,14.579909150232039,4.676718558409411,7.786815814356493,3.1527514093688542,3.1526929189853585,0.001513542471707274,0.0015134863274005304,0.009045882103525194,0.0014692595080489368,0.021469259508048948,True,True,1.0,1.0,0.15014132421981188,0.4274748268030058,0.6927586786791751,1.1425166572918022,0.8316738856381388,1.119911712019372,0.2882378263812332,1681,3200,0.9686586107172285,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,8
freeform_s2,freeform,0.6,2,cross_xy,0.4,balanced_extend5,10,530,2.100267083583461,-0.0019777653499959643,0.0019479150611439785,0.003925680411139942,2.7025147498966837,1.1009667261968925,2.6987594900782352,3.5275075802229305,3.254956083850371,0.0017769546887903803,0.0016357143791821877,0.002370589281779247,0.0019607688934745737,0.02196076889347459,True,True,1.0,1.0,0.14630782434211645,0.4278987073028681,0.6996646197728199,1.1357685006074807,0.8315044053033023,1.118883740689459,0.2873793353861567,1681,3200,0.9988810908239366,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,9
freeform_s2,freeform,0.6,2,same_xx,0.4,balanced_extend5,10,530,2.1001888889910436,-0.0019777653499959643,0.0019479150611439785,0.003925680411139942,2.7025147498966837,1.1033194122046952,2.6204235503841624,3.5342797085736097,3.3501967842759868,0.0017769546887903803,0.0016565804014883547,0.002370922686238658,0.0019607688934745737,0.02196076889347459,True,True,1.0,1.0,0.15044972755951505,0.42790330580866026,0.6913248100903302,1.1428982670507217,0.8314421305672073,1.1197056999008694,0.28826356933366215,1681,3200,0.9988810908239366,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,10
