candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z,link6_axis_x,link6_axis_y,link6_axis_z,pad_outward_axis_x,pad_outward_axis_y,pad_outward_axis_z,normal_alignment_error_deg,target_quat_x,target_quat_y,target_quat_z,target_quat_w,actual_link6_quat_x,actual_link6_quat_y,actual_link6_quat_z,actual_link6_quat_w,actual_pad_quat_x,actual_pad_quat_y,actual_pad_quat_z,actual_pad_quat_w
gate_f5_normal_cylinder_xyzw,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.3057069182395935,0.12530449032783508,0.4552667737007141,0.06149999052286148,-0.7761781811714172,0.0,0.630513608455658,0.9680309891700745,-0.24207526445388794,0.06569039821624756,-0.9680311679840088,0.24207526445388794,-0.06569033861160278,44.76947784423828,0.9961817264556885,0.0,0.08730418980121613,0.0,0.11105285584926605,0.6744049787521362,-0.05967416614294052,0.7275190949440002,-0.43590760231018066,0.5190724730491638,0.4346802532672882,0.5929598808288574
gate_f5_normal_cylinder_xyzw,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.1990983784198761,0.10335078090429306,0.31380459666252136,0.06089998036623001,-0.5984972715377808,0.0,0.8011248111724854,0.9356930255889893,-0.3519411087036133,-0.024821043014526367,-0.9356930255889893,0.35194098949432373,0.024821072816848755,54.556880950927734,0.9962284564971924,0.0,0.08676891773939133,0.0,0.20992745459079742,0.6843544244766235,-0.04334883764386177,0.6969292759895325,-0.3443634510040283,0.5145655870437622,0.45325854420661926,0.6412431597709656
gate_f5_normal_cylinder_xyzw,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.11456514894962311,0.08276351541280746,0.19143691658973694,0.06029997020959854,-0.45760858058929443,0.0,0.8891537189483643,0.9136824607849121,-0.33860746026039124,-0.22478783130645752,-0.9136824607849121,0.3386073708534241,0.22478777170181274,51.83123779296875,0.9962749481201172,0.0,0.0862337276339531,0.0,0.23488196730613708,0.7464746236801147,-0.031151797622442245,0.621800422668457,-0.27359235286712646,0.5498645901679993,0.5058097839355469,0.605766236782074
gate_f5_normal_cylinder_xyzw,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.08021865785121918,0.07533198595046997,0.15110155940055847,0.05969996005296707,-0.4003644287586212,0.0,0.9163560271263123,0.8174856901168823,-0.364410936832428,-0.4460064172744751,-0.8174856901168823,0.36441105604171753,0.4460064470767975,42.60881805419922,0.9963210821151733,0.0,0.08569861203432083,0.0,0.2754562795162201,0.8044420480728149,-0.047002505511045456,0.5242018103599548,-0.1758895367383957,0.6020621657371521,0.535590648651123,0.565443754196167
gate_f5_normal_cylinder_xyzw,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.05412498116493225,0.07336527109146118,0.15050914883613586,0.0590999498963356,-0.3568749725818634,0.0,0.9341521859169006,0.707426130771637,-0.4439937472343445,-0.5499249696731567,-0.7074261903762817,0.44399386644363403,0.5499250888824463,39.98823165893555,0.9963669776916504,0.0,0.08516356348991394,0.0,0.323987752199173,0.81853187084198,-0.0866013765335083,0.46640926599502563,-0.10070720314979553,0.640025794506073,0.5175530314445496,0.5588951706886292
gate_f5_normal_cylinder_xyzw,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.028971731662750244,0.07904735952615738,0.16047286987304688,0.05849993973970413,-0.31495288014411926,0.0,0.94910728931427,0.5926383137702942,-0.5565069913864136,-0.5823053121566772,-0.5926382541656494,0.5565071105957031,0.5823054313659668,42.3261833190918,0.9964125752449036,0.0,0.08462859690189362,0.0,0.382635235786438,0.8029588460922241,-0.13909322023391724,0.4353163540363312,-0.03725122660398483,0.6661314964294434,0.46942389011383057,0.5783789753913879
gate_f5_normal_cylinder_xyzw,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.009809762239456177,0.07763799279928207,0.16177424788475037,0.05789992958307266,-0.28301626443862915,0.0,0.9591150879859924,0.42377573251724243,-0.639235258102417,-0.6417107582092285,-0.42377567291259766,0.639235258102417,0.6417105197906494,42.65815734863281,0.9964578747749329,0.0,0.08409370481967926,0.0,0.495479553937912,0.7585218548774719,-0.16744834184646606,0.3887232542037964,0.07548731565475464,0.6547608375549316,0.41795217990875244,0.6252245903015137
gate_f5_normal_cylinder_xyzw,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.008098214864730835,0.07611743360757828,0.13360998034477234,0.05729991942644119,-0.2531696557998657,0.0,0.9674218893051147,0.20468220114707947,-0.532869815826416,-0.8210694789886475,-0.20468229055404663,0.5328698754310608,0.8210693001747131,32.205745697021484,0.9965028166770935,0.0,0.08355888724327087,0.0,0.6430327296257019,0.7050132155418396,-0.13402175903320312,0.2674013376235962,0.2656112611293793,0.5932875871658325,0.40375205874443054,0.6437737941741943
gate_f5_normal_cylinder_xyzw,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.02716168761253357,0.07047753781080246,0.09750205278396606,0.05669990926980972,-0.22139719128608704,0.0,0.9751837253570557,-0.02996329963207245,-0.34604233503341675,-0.9377403259277344,0.029963284730911255,0.34604233503341675,0.9377403259277344,24.792091369628906,0.996547520160675,0.0,0.08302413672208786,0.0,0.7612293362617493,0.6240192651748657,-0.12320847809314728,0.12629137933254242,0.4489689767360687,0.5283697247505188,0.3541266620159149,0.6275720000267029
gate_f5_normal_cylinder_xyzw,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.04928302764892578,0.06653265655040741,0.06860148906707764,0.05609989911317825,-0.18452829122543335,0.0,0.9828271865844727,-0.06805513799190521,-0.1563122272491455,-0.9853602647781372,0.06805500388145447,0.1563122272491455,0.9853602647781372,17.082895278930664,0.9965919256210327,0.0,0.08248946815729141,0.0,0.8364806771278381,0.5412764549255371,-0.0712892934679985,0.04730401188135147,0.558032214641571,0.43314921855926514,0.3323310315608978,0.6249302625656128
