teacher,direction_mode,surface_profile,env,profile_seed,checkpoint,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,pass1_champion_steps,later_finish_steps,later_protect_steps,later_defect_champion_steps
champion_then_finish,same_xx,factory_prepolish,4,42,model_bc_robot_tesla12p7.pt,success,1,75.3912296120912,77.13937811314543,0.10689556660956501,0.08542430876275323,0.804469017878618,0.7029629215225865,0.0,0.0,42.32255530889509,25.65489406433709,True,True,2664,2567,0,-0.2899197388339687,0.48343936476979527,2664,0,0,0
champion_then_finish,same_xx,factory_prepolish,7,333,model_bc_robot_tesla12p7.pt,success,1,73.60900699444439,75.9928675629256,0.1150854155965834,0.10035111093912605,0.9512547161844889,0.8905037823557405,0.5119893071807349,0.3979774200477578,43.051683068548805,28.735246710381343,True,True,2900,2803,0,-0.11403630611968452,0.280888570161729,2900,0,0,0
champion_then_finish,same_xx,factory_prepolish,6,236,model_bc_robot_tesla12p7.pt,success,1,67.50958508642633,72.74451678018738,0.12253720026101132,0.10106210850823133,1.0873902313400208,0.9550381670156971,0.5306411210783062,0.43680315396351005,42.77457800961951,28.729583594399646,True,True,3119,3022,0,0.024701401402587957,0.12102618611902333,3119,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_defect,8,42,model_bc_robot_tesla12p7.pt,success,1,71.25928820905311,75.02546595075785,0.10914180531128084,0.10024845188835255,0.990255750615746,0.9504913607682244,0.7013491255563639,0.5990629162452141,42.32226273591609,28.991698541485416,True,True,3170,3073,0,0.05430325688529842,0.08705496194328795,3170,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_defect,11,333,model_bc_robot_tesla12p7.pt,success,1,71.08564622754722,74.38939212567594,0.11671487147466,0.10584315951626484,1.102331598434575,1.09441633947758,0.7271183440182207,0.643921009798551,43.05148933956186,28.826052335772893,True,True,3174,3077,0,0.05687933413296581,0.08432553670525776,3174,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_stress,12,42,model_bc_robot_tesla12p7.pt,success,1,71.52691962949095,74.71970341780435,0.11073377955241044,0.10287399869623555,1.1522200540402132,1.1194667389357598,1.1028619970707352,0.986127323372499,42.32216980510883,29.0302735416571,True,True,3178,3081,0,0.05980559937594971,0.08121678700624883,3178,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_stress,15,333,model_bc_robot_tesla12p7.pt,success,1,70.93007617123241,74.06240421031099,0.1183279693951039,0.10831619108503303,1.42551266460328,1.4120972105523408,1.1363491246853263,1.04477193319053,43.051700236694714,28.859331436428615,True,True,3178,3081,0,0.05949762716767471,0.08145764186425056,3178,0,0,0
champion_then_finish,same_xx,factory_prepolish,5,139,model_bc_robot_tesla12p7.pt,success,1,69.98941302667497,74.0337795711365,0.10243811924636098,0.09630109565962668,0.9314749788546506,0.8006473059747341,0.5204314006785608,0.379183787513253,42.25732831200147,28.61366896893146,True,True,3211,3113,0,0.07816416237471965,0.059891378204795065,3211,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_defect,10,236,model_bc_robot_tesla12p7.pt,success,1,64.41177876626942,71.13875983987344,0.12480068243437777,0.11953091128827194,1.164106009490332,1.069628422355995,0.5635218864170326,0.44181021423513145,42.77453357165257,28.874450400392483,True,True,3650,3553,0,0.29280186696820065,-0.1876176332039376,3650,0,0,0
champion_then_finish,same_xx,factory_prepolish_deep_defect,9,139,model_bc_robot_tesla12p7.pt,success,1,66.16032139351948,71.90679247279205,0.10492553502548299,0.10976702816094994,1.0992632857524285,1.035684134077157,0.648089096741403,0.5511122312872826,42.27657725547136,28.953390586029123,True,True,3710,3612,0,0.3183947189156257,-0.21656783129969698,3710,0,0,0
